,geoName,year,sector,establishments,employment,wages,gdp,State,adt,sla,ugos,ugosa,vgos,vgosa
0,Alabama,2017,Ship and Boat Building,56.0,5148.5,340878916.0,768027904.345,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
1,Alabama,2017,Tourism and Recreation,969.0,19190.083,349429993.0,746658770.34,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
2,Alabama,2017,Marine Transportation,122.0,3598.083,193170214.0,316308107.444,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
3,Alabama,2017,Ocean Economy,1370.0,30717.417,995482547.0,2298649827.607,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
4,Alabama,2017,Marine Construction,37.0,392.083,19701172.0,37218251.392,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
5,Alabama,2017,Living Resources,142.0,2072.5,59101242.0,180584087.826,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
6,Alabama,2017,Offshore Mineral Resources,44.0,316.167,33201010.0,249852706.261,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
7,Alabama,2017,Natural Resources and Mining,1815.0,17999.0,949424301.0,5124100000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
8,Alabama,2017,Other Services,9640.0,46105.0,1719880161.0,5355200000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
9,Alabama,2017,Construction,9648.0,85262.0,4453218100.0,7359600000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
10,Alabama,2017,Information,2037.0,21620.0,1248414084.0,4876600000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
11,Alabama,2017,Manufacturing,5448.0,263487.0,14543812862.0,35558500000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
12,Alabama,2017,Financial Activities,13244.0,96651.0,6372722481.0,35039900000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
13,Alabama,2017,Education and Health Services,14810.0,429950.0,19929292548.0,17039200000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
14,Alabama,2017,Professional and Business Services,21551.0,242424.0,13089660512.0,20992000000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
15,Alabama,2017,All Industries Total,124882.0,1936820.0,89088710816.0,211666000000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
16,Alabama,2017,Leisure and Hospitality,10970.0,208484.0,3462289029.0,6727100000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
17,Alabama,2017,Public Administration,2068.0,124444.0,6812332260.0,35454100000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
18,Alabama,2017,Trade Transportation and Utilities,33653.0,400245.0,16499124645.0,38139500000.0,Alabama,0.1815125,-0.0073,-0.088825,-0.093675,0.001275000000000001,0.0286
19,Alabama,2018,Marine Construction,38.0,448.417,24823844.0,46519873.806,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
20,Alabama,2018,Living Resources,140.0,2119.417,61779516.0,179577769.604,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
21,Alabama,2018,Offshore Mineral Resources,42.0,314.833,33424389.0,215719269.852,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
22,Alabama,2018,Ship and Boat Building,52.0,4587.833,323146872.0,752468871.428,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
23,Alabama,2018,Tourism and Recreation,1014.0,19602.417,373288521.0,775639544.662,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
24,Alabama,2018,Marine Transportation,118.0,3753.75,205019776.0,325070951.239,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
25,Alabama,2018,Ocean Economy,1404.0,30826.667,1021482918.0,2294996280.592,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
26,Alabama,2018,Other Services,10140.0,46916.0,1811706889.0,5666800000.0,Alabama,0.2141,0.025275,0.014250000000000002,0.0093625,-0.0448875,-0.01755
